8.23204512	8.53647324
6.13430925	6.49409173
3.68459083	3.98169830
1.21300344	2.06271550
6.55951097	7.22190977
5.15198454	1.91184794
6.59723245	3.99879208
3.71797340	4.32807868
5.38699792	6.62774614
7.09781046	1.98628614
7.74858608	1.51332992
6.18403505	6.76100359
3.08122882	4.13623891
5.91261496	2.68658280
6.89240857	7.62691945
6.32256859	4.20251363
1.43734338	1.66486332
4.24287879	4.96468931
6.35176479	6.62407155
8.87303026	9.11684313
3.94132445	3.31438189
2.30770808	6.19261372
3.91075339	6.60294383
7.39137812	7.49390377
6.43484535	5.63063699
1.21139319	8.03361773
1.36905551	7.46979309
6.53563895	6.45495440
6.99410072	6.78495859
3.63571883	6.86469930
1.56818440	5.44001340
4.10635400	4.08877368
