x, y
2, -2.5
2.39, 7.56 
11.86, 5.73 
10.07, -3.16 
1.64, -1.44 
3.31, 6.52 
10.41, 3.66 
7.79, -3.03 
1.58, -0.47 
3.83, 5.25 
9.14, 3.24 
5.38, -6.15 
